,additional_info,address,latitude,longitude,name,phone_number,type,url
11776,Yelp Rating: 2.5 Reviews: 3,505 Claremont Pkwy,40.838491883036205,-73.9015365595245,505 Dental Associates,17182993600,Health,https://www.yelp.com/biz/505-dental-associates-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11777,Yelp Rating: 3.5 Reviews: 6,281 E 161st St,40.825765000000004,-73.917702,Good Taste Chinese Restaurant,17186659630,Restaurants,https://www.yelp.com/biz/good-taste-chinese-restaurant-bronx-5?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11778,Yelp Rating: 2.0 Reviews: 2,860 Melrose Ave,40.8237661,-73.9138274,Bate,17184012283,Restaurants,https://www.yelp.com/biz/bate-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11779,Yelp Rating: 3.0 Reviews: 12,904 Melrose Ave,40.82463,-73.91343,Lupita's Restaurant,13478206343,Restaurants,https://www.yelp.com/biz/lupitas-restaurant-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11780,Yelp Rating: 3.5 Reviews: 8,904 Morris Ave,40.82626,-73.91789,Morris Avenue Pizza,17189939165,Restaurants,https://www.yelp.com/biz/morris-avenue-pizza-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11781,Yelp Rating: 3.5 Reviews: 10,796 Courtlandt Ave,40.822646999999996,-73.91632,Kristy Restaurant,17184020698,Restaurants,https://www.yelp.com/biz/kristy-restaurant-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11782,Yelp Rating: 4.5 Reviews: 110,424 E 161st St,40.823679999999996,-73.91294,Porto Salvo,19293767866,Restaurants,https://www.yelp.com/biz/porto-salvo-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11783,Yelp Rating: 2.5 Reviews: 7,260 E 161st Street,40.825559999999996,-73.91909,Checkers,17185857777,Restaurants,https://www.yelp.com/biz/checkers-bronx-3?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11784,Yelp Rating: 4.0 Reviews: 24,260 E 161st St,40.8256002740113,-73.91916308465579,Smokey island Grille,17186841475,Restaurants,https://www.yelp.com/biz/smokey-island-grille-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11785,Yelp Rating: 2.0 Reviews: 3,934 Morris Ave,40.82734,-73.91731,Kennedy Fried Chicken,17182933314,Restaurants,https://www.yelp.com/biz/kennedy-fried-chicken-bronx-35?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
