,name,borough,latitude,longitude
232,Old Town,Staten Island,40.59632891379518,-74.08751118005587
233,Dongan Hills,Staten Island,40.58867294819932,-74.09639905312528
234,Midland Beach,Staten Island,40.57352690574287,-74.09348266303599
235,Grant City,Staten Island,40.57621558711792,-74.10585598545441
236,New Dorp Beach,Staten Island,40.56425549307338,-74.10432707469131
237,Bay Terrace,Staten Island,40.55398800858466,-74.13916622175775
238,Huguenot,Staten Island,40.53191192048964,-74.19174105747821
239,Pleasant Plains,Staten Island,40.52469937611818,-74.21983106616784
240,Butler Manor,Staten Island,40.50608165346308,-74.22950350260034
241,Charleston,Staten Island,40.53053148283318,-74.23215775896533
242,Rossville,Staten Island,40.54940400650077,-74.21572851113959
243,Arden Heights,Staten Island,40.54928582278325,-74.185886745839
244,Greenridge,Staten Island,40.55971249634295,-74.19150620964295
245,Heartland Village,Staten Island,40.58913894875285,-74.15902208156608
246,Chelsea,Staten Island,40.59472602746298,-74.18956045519697
247,Bloomfield,Staten Island,40.60577868452362,-74.18725638381574
248,Bulls Head,Staten Island,40.60959180042034,-74.15940948657129
249,Carnegie Hill,Manhattan,40.78268256712574,-73.95325646837121
250,Noho,Manhattan,40.72325901885772,-73.98843368023604
251,Civic Center,Manhattan,40.71522892046286,-74.00541529873362
252,Midtown South,Manhattan,40.74850966431224,-73.98871313285254
253,Richmond Town,Staten Island,40.56960594275509,-74.13405729862578
254,Shore Acres,Staten Island,40.60971934079289,-74.06667766061778
255,Clifton,Staten Island,40.61917845202847,-74.07264244548406
256,Concord,Staten Island,40.60447318968794,-74.08402364740365
257,Emerson Hill,Staten Island,40.60679439480104,-74.09776206972529
258,Randall Manor,Staten Island,40.63563000681155,-74.09805062373894
259,Howland Hook,Staten Island,40.638432837948,-74.1862233174983
260,Elm Park,Staten Island,40.63014674119387,-74.14181678968897
261,Remsen Village,Brooklyn,40.65211745179353,-73.91665331978055
262,New Lots,Brooklyn,40.66274427969663,-73.885117763793
263,Paerdegat Basin,Brooklyn,40.63131755039671,-73.90233474295843
264,Mill Basin,Brooklyn,40.61597423962341,-73.9151539155041
265,Jamaica Hills,Queens,40.71145964370486,-73.796464620816
266,Utopia,Queens,40.7335002542976,-73.79671678028357
267,Pomonok,Queens,40.73493618075482,-73.80486120040544
268,Astoria Heights,Queens,40.77031739299824,-73.89467996270581
269,Claremont Village,Bronx,40.83142834161551,-73.90119903387674
270,Concourse Village,Bronx,40.82478049084294,-73.91584652759016
271,Mount Eden,Bronx,40.84382617671658,-73.91655551964426
272,Mount Hope,Bronx,40.84884160724669,-73.90829930881995
273,Sutton Place,Manhattan,40.76028033131378,-73.9635561409431
274,Hunters Point,Queens,40.74341409007358,-73.95386782130753
275,Turtle Bay,Manhattan,40.75204236950726,-73.96770824581843
276,Tudor City,Manhattan,40.74691741074023,-73.97121928722272
277,Stuyvesant Town,Manhattan,40.73099955477065,-73.9740517046921
278,Flatiron,Manhattan,40.73967304763847,-73.99094710528267
279,Sunnyside Gardens,Queens,40.74565180608079,-73.9181928643169
280,Blissville,Queens,40.73725071694501,-73.93244235260185
281,Fulton Ferry,Brooklyn,40.70328109093018,-73.99550751888422
282,Vinegar Hill,Brooklyn,40.70332149882879,-73.981116035924
283,Weeksville,Brooklyn,40.67503986503241,-73.93053108817347
284,Broadway Junction,Brooklyn,40.67786104769535,-73.90331684852606
285,Dumbo,Brooklyn,40.70317632822696,-73.98875280745047
286,Manor Heights,Staten Island,40.60180957631448,-74.12059399718008
287,Willowbrook,Staten Island,40.60370692627375,-74.13208447484305
288,Sandy Ground,Staten Island,40.5411399220918,-74.21776636068574
289,Egbertville,Staten Island,40.57911874296126,-74.12727240604953
290,Roxbury,Queens,40.56737588957036,-73.89213760232829
291,Homecrest,Brooklyn,40.59852509513729,-73.9591845942871
292,Middle Village,Queens,40.71641451115823,-73.8811431920061
293,Prince's Bay,Staten Island,40.52626406734817,-74.20152556457666
294,Lighthouse Hill,Staten Island,40.57650629379494,-74.13792663771576
295,Richmond Valley,Staten Island,40.51954145748913,-74.22957080626948
296,Malba,Queens,40.79060155670152,-73.8266775713865
297,Highland Park,Brooklyn,40.68248551101694,-73.8902809854761
298,Madison,Brooklyn,40.6093777011377,-73.948415153289
